drug,gene_name,mechanism,esm_lr_auroc,rank,total_genes,percentile,imputed_esm_lr_auroc,imputed_rank,imputed_total_genes,onehot_determinant,onehot_auroc,esm_minus_onehot,imputed_minus_onehot,prevalence,n_pos
ceftriaxone,blaCTX-M-15,acquired,0.5004390779363337,2645,2802,5.638829407566027,0.8266706135029588,101,2804,Bla ESBL (acquired),0.8950142450142449,-0.3945751670779112,-0.06834363151128608,0.458,911
ceftriaxone,blaSHV-11,acquired,0.4953773523047668,2755,2802,1.7130620985010725,0.5112398552590709,2644,2804,Bla ESBL (acquired),0.8950142450142449,-0.39963689270947805,-0.383774389755174,0.227,303
ceftriaxone,blaSHV-1,acquired,0.4943181818181818,2764,2802,1.3918629550321193,0.5292475170771465,2554,2804,Bla ESBL (acquired),0.8950142450142449,-0.40069606319606305,-0.3657667279370984,0.1445,168
ceftriaxone,blaTEM-1,acquired,0.4729636763896533,2786,2802,0.6067094932191264,0.7122338208472601,642,2804,Bla ESBL (acquired),0.8950142450142449,-0.42205056862459156,-0.1827804241669848,0.3275,632
ceftriaxone,blaSHV-28,acquired,0.4499999999999999,2791,2802,0.4282655246252709,0.6421060176864282,1263,2804,Bla ESBL (acquired),0.8950142450142449,-0.44501424501424497,-0.2529082273278167,0.2185,425
ceftriaxone,blaOXA-1,acquired,0.4240301724137931,2794,2802,0.3211991434689532,0.6598873558763172,1102,2804,Bla ESBL (acquired),0.8950142450142449,-0.4709840726004518,-0.23512688913792767,0.236,464
cefuroxime,ampC,mutation,0.8814852665644696,22,2812,99.25320056899004,0.7083566476580514,645,2827,Omp (mutations),0.8263170731707318,0.0551681933937378,-0.11796042551268038,0.3620253164556962,515
cefuroxime,ompK36,mutation,0.7334028955262814,598,2812,78.76955903271693,0.5863086380069129,1760,2827,Omp (mutations),0.8263170731707318,-0.09291417764445042,-0.24000843516381887,0.3069620253164557,451
cefuroxime,ampH,mutation,0.7007011551983928,792,2812,71.8705547652916,0.7213769539388312,559,2827,Omp (mutations),0.8263170731707318,-0.12561591797233895,-0.10494011923190061,0.9848101265822784,1375
cefuroxime,ompK37,mutation,0.6698638455091255,1015,2812,63.940256045519206,0.7004178720668595,699,2827,Omp (mutations),0.8263170731707318,-0.1564532276616063,-0.12589920110387232,0.9322784810126582,1292
cefuroxime,ompK35,mutation,0.6123389355742297,1489,2812,47.08392603129445,0.8125865606311338,134,2827,Omp (mutations),0.8263170731707318,-0.21397813759650208,-0.013730512539598005,0.490506329113924,595
cefuroxime,blaTEM-1,acquired,0.5,2584,2812,8.143669985775247,0.6767344865491228,875,2827,Bla ESBL (acquired),0.8900000000000002,-0.39000000000000024,-0.2132655134508774,0.4050632911392405,625
cefuroxime,blaCTX-M-15,acquired,0.4997096399535423,2586,2812,8.072546230440969,0.8012230595537141,178,2827,Bla ESBL (acquired),0.8900000000000002,-0.39029036004645795,-0.08877694044628615,0.5462025316455696,861
cefuroxime,blaOXA-1,acquired,0.499015748031496,2600,2812,7.574679943100993,0.6192502906849848,1404,2827,Bla ESBL (acquired),0.8900000000000002,-0.3909842519685042,-0.2707497093150154,0.2436708860759493,381
cefuroxime,blaSHV-28,acquired,0.498905109489051,2603,2812,7.467994310099568,0.6728672849427162,905,2827,Bla ESBL (acquired),0.8900000000000002,-0.39109489051094926,-0.21713271505728404,0.35,548
cefuroxime,blaSHV-11,acquired,0.4918367346938775,2733,2812,2.8449502133712667,0.5204273168486176,2557,2827,Bla ESBL (acquired),0.8900000000000002,-0.3981632653061227,-0.3695726831513826,0.1987341772151898,265
cefuroxime,blaSHV-1,acquired,0.4852655833131215,2768,2812,1.6002844950213424,0.5052501875066966,2650,2827,Bla ESBL (acquired),0.8900000000000002,-0.40473441668687876,-0.38474981249330364,0.1613924050632911,217
ciprofloxacin,gyrA,mutation,0.9112716313710526,17,2804,99.42938659058488,0.9128343282880512,2,2804,Flq (mutations),0.9111708171574658,0.00010081421358676401,0.0016635111305853822,0.9225,966
ciprofloxacin,parC,mutation,0.9001002325017137,40,2804,98.60912981455064,0.8955397433486886,23,2804,Flq (mutations),0.9111708171574658,-0.01107058465575217,-0.015631073808777263,0.9225,967
ciprofloxacin,oqxB,acquired,0.8773139994520762,103,2804,96.3623395149786,0.7504036617467331,567,2804,Flq (acquired),0.6776352197287714,0.19967877972330483,0.07276844201796173,0.4035,501
ciprofloxacin,gyrB,mutation,0.6524607502115258,1362,2804,51.46219686162625,0.6524607502115258,1287,2804,Flq (mutations),0.9111708171574658,-0.25871006694594,-0.25871006694594,0.9235,967
