gene_name,annotation,prevalence,lr_auroc_pyrazinamide,n_train,n_pos,kept_filtered
dhmA1,,0.9965,0.5183057261404097,1992,998,False
papA5,,0.996,0.5183019832293391,1988,993,False
iniB,,0.8865,0.5182773885121619,1767,911,False
pepA,,0.9915,0.5182605421686747,1988,996,False
deoA,,0.9955,0.5181460999396783,1988,994,False
csm3,,0.9975,0.5181447094199555,1986,991,False
rodA,,0.9905,0.5180796351453109,1984,991,False
exeA,,0.991,0.5180622279707645,1974,990,False
rpsZ,,0.9945,0.5180207570515897,1990,995,False
lipR,,0.9345,0.5179229290538061,1868,956,False
alaS,,0.988,0.5178377960068101,1982,994,False
nit2,,0.993,0.5178186593918128,1986,995,False
nadD,,0.9905,0.5177613597756695,1986,995,False
mptA,,0.9985,0.5177349378529241,1986,994,False
lexA,,0.9875,0.5177315703043704,1984,992,False
pks18,,0.995,0.5176630351856938,1983,990,False
pepD,,0.967,0.5175152764817434,1929,973,False
aftA,,0.9955,0.517481535651949,1990,998,False
ptpA,,0.9965,0.5174658785208746,1991,997,False
yhjD,,0.9945,0.5173733548170311,1988,994,False
sseA,,0.267,0.5173329375288608,535,372,False
dapB,,0.986,0.5173247031014853,1978,992,False
pstB,,0.989,0.5172698790523564,1983,993,False
jag,,0.994,0.5172361146499391,1989,996,False
fas,,0.9835,0.5172204818378459,1965,981,False
cof,,0.9915,0.5172100524150554,1979,988,False
thiD,,0.9905,0.5171916229429153,1983,994,False
glxK,,0.8765,0.517187850872383,1751,899,False
glmU,,0.986,0.5171660041550113,1978,994,False
ribA,,0.993,0.517089665576043,1981,991,False
eis,,0.9875,0.5170555849044144,1969,977,False
ubiC,,0.989,0.5169590930836978,1976,989,False
rnd,,0.994,0.5168915909946601,1988,994,False
tobH,,0.998,0.5168647224237845,1995,998,False
mntR,,0.9095,0.5168448602294242,1819,943,False
eAL,,0.995,0.516782836270905,1985,991,False
nahD,,0.986,0.5167662080896286,1971,995,False
ettA,,0.982,0.5167246597006028,1966,992,False
ctaB,,0.998,0.5167039248075959,1980,991,False
dgt,,0.994,0.516475364282469,1986,994,False
vapC34,,0.9985,0.5164347313296674,1992,995,False
